schoolId,schoolname,country,city,careersPageUrl,tesEmployerSlug,tesOrganizationId
FLIS0180,Prague British International School,Czechia,Prague,https://www.nordangliaeducation.com/pbis-prague/careers,prague-british-international-school-kamyk-1057016,1057016
FLIS0181,St. George's British International School Bilbao,Spain,Bilbao,https://stgeorgeschool.es/en/careers/,,
FLIS0182,International School of Helsinki,Finland,Helsinki,https://www.ishelsinki.fi/employment,,
FLIS0183,British School in Helsinki,Finland,Helsinki,https://www.thebritishschool.fi/vacancies,,
FLIS0184,Stockholm International School,Sweden,Stockholm,https://www.intsch.se/careers,,
FLIS0185,British International School of Stockholm,Sweden,Stockholm,https://www.bisstockholm.se/careers,british-international-school-of-stockholm-ekeby-campus-1082172,1082172
FLIS0186,Copenhagen International School,Denmark,Copenhagen,https://www.copenhageninternational.school/about/careers/,,
FLIS0187,Southbank International School,UK,London,https://www.southbank.org/careers,southbank-international-school-hampstead-campus-1023050,1023050
FLIS0188,ACS Cobham International School,UK,Surrey,https://www.acs-schools.org/careers,acs-cobham-international-school-1054365,1054365
FLIS0189,St. George's International School Luxembourg,Lux,Luxembourg,https://www.st-georges.lu/careers,st-george-s-international-school-luxembourg-1058183,1058183
FLIS0190,International School of Luxembourg,Lux,Luxembourg,https://www.islux.lu/careers,,
FLIS0191,St. John's International School Belgium,Belgium,Waterloo,https://www.stjohns.be/enquire-now,st-john-s-international-school-1057076,1057076
FLIS0192,International School of Nice,France,Nice,https://www.isn-nice.com/join-the-team,international-school-of-nice-isn-1059393,1059393
FLIS0193,Mougins School,France,Mougins,https://mougins.britishinternationalschool.com/about/work-with-us,mougins-school-1055155,1055155
FLIS0194,International School of Turin,Italy,Turin,https://www.istorin.it/careers,,
FLIS0195,International School of Genoa,Italy,Genoa,https://www.isgenoa.it/careers,,
FLIS0196,St. Paul's School Brazil,Brazil,Sao Paulo,https://www.stpauls.br/careers,st-paul-s-school-1057345,1057345
FLIS0197,British School Rio de Janeiro,Brazil,Rio,https://www.britishschool.g12.br/careers,the-british-school-rio-de-janeiro-botafogo-campus-1059187,1059187
FLIS0198,Graded School Sao Paulo,Brazil,Sao Paulo,https://www.graded.br/employment,,
FLIS0199,Northlands School Argentina,Argentina,B. Aires,https://www.northlands.edu.ar/work-with-us/,,
FLIS0200,Markham College Peru,Peru,Lima,https://www.markham.edu.pe/careers,markham-college-1057093,1057093
FLIS0201,Sultans School,Oman,Muscat,https://sultansschool.org/careers/,the-sultan-s-school-1054897,1054897
FLIS0202,Parklane International School,Czechia,Prague,https://www.parklane-is.com/careers,park-lane-international-school-1071241,1071241
FLIS0203,American British Academy,Oman,Muscat,https://www.abaoman.org/community/careers,,
